City,day,CO_mean,CO_min,CO_max,CO_std,NO2_mean,NO2_min,NO2_max,NO2_std,SO2_mean,SO2_min,SO2_max,SO2_std,O3_mean,O3_min,O3_max,O3_std,PM2.5_mean,PM2.5_min,PM2.5_max,PM2.5_std,PM10_mean,PM10_min,PM10_max,PM10_std,AQI_mean,AQI_min,AQI_max,AQI_std
New York,2024-10-24,214.58333333333334,168.0,277.0,38.10159949474524,18.333333333333332,4.9,38.2,11.994044415845535,4.520833333333333,1.8,8.6,2.402350147643773,53.208333333333336,42.0,70.0,7.851774469433047,7.704166666666667,3.0,14.7,4.155298259233434,11.549999999999999,4.5,21.7,6.338083649481609,24.231596874999997,16.8,28.349995,2.6707017612567236
New York,2024-10-25,214.625,171.0,359.0,39.86478504841739,19.383333333333333,10.4,52.2,9.501060200184831,4.445833333333334,2.4,8.5,1.984719707878314,41.291666666666664,17.0,61.0,12.623233123600055,5.795833333333333,3.5,14.7,2.4730687092314496,8.325000000000001,5.0,21.0,3.523492585489574,17.89534725,11.599999,24.88,4.069095268535353
New York,2024-10-26,289.0833333333333,176.0,409.0,80.224097359219,25.808333333333334,4.2,63.9,18.849862568214647,6.729166666666667,2.3,9.6,2.97416106792672,42.833333333333336,2.0,82.0,27.999482396872153,8.279166666666667,2.3,14.8,3.9554012786773374,11.887500000000001,3.4,21.2,5.62373174108191,23.955971958333333,15.508332,32.8,6.465608772434723
New York,2024-10-27,238.33333333333334,170.0,355.0,61.59945416660109,18.3875,6.4,48.5,10.654752460756656,4.033333333333333,3.1,6.4,0.7682089087847339,49.583333333333336,18.0,68.0,14.178724621208286,5.129166666666666,2.2,14.3,2.5669266290333623,7.354166666666667,3.1,20.4,3.676598045531466,20.939583541666668,14.400001,27.2,4.283867265620733
New York,2024-10-28,452.5833333333333,211.0,739.0,166.55823284225912,38.208333333333336,14.4,62.2,15.80506018768141,7.583333333333333,5.5,8.9,1.0470109283374125,24.041666666666668,0.0,67.0,28.60902740876317,14.8125,6.9,25.1,6.204508353853952,21.379166666666666,10.0,35.9,8.716500053829275,25.913332916666665,21.560001,29.625,2.373805264073459
New York,2024-10-29,296.0833333333333,175.0,591.0,120.61397880866865,31.570833333333336,8.9,49.8,15.03024426792936,4.829166666666667,3.2,6.5,1.0075709778285191,38.416666666666664,2.0,73.0,23.151517307148325,12.666666666666666,9.1,16.9,1.9839939223843333,21.650000000000002,14.2,27.9,3.415565393389759,25.556944666666666,21.974998,29.624998,2.591816952133716
New York,2024-10-30,299.6666666666667,219.0,428.0,51.033379244387184,37.61666666666667,22.4,63.6,9.268960199958018,8.970833333333333,4.9,12.1,2.7213294651642266,30.416666666666668,6.0,61.0,15.756066234577899,16.3625,11.3,22.8,3.7474411559611323,24.741666666666664,17.1,32.8,5.031804643566211,27.490972,25.333336,31.8,1.6283524728795287
New York,2024-10-31,348.7916666666667,290.0,443.0,44.51670831093176,36.666666666666664,17.4,65.3,12.981112254437939,9.4125,6.7,11.0,1.3122541177550997,35.583333333333336,9.0,74.0,17.93203755891931,16.854166666666668,7.3,23.2,4.903767776495652,24.383333333333336,10.8,33.3,7.009662068804788,37.17534725,32.725,39.983334,2.2605806206143253
New York,2024-11-01,203.0,155.0,298.0,35.63217891054439,19.491666666666667,5.5,52.7,11.689196672166128,5.7250000000000005,3.0,7.9,1.475082901133829,60.75,30.0,89.0,15.447667616265203,6.854166666666667,4.3,13.1,2.3847302584982444,10.3125,6.5,19.3,3.4181500844755193,27.45972125,18.8,35.6,5.297700697726673
New York,2024-11-02,213.33333333333334,169.0,300.0,35.94399830977007,16.912499999999998,4.7,36.7,8.75409531491454,2.9,2.1,3.8,0.5469281806440482,43.333333333333336,22.0,68.0,15.301794912239282,4.875,1.9,7.6,2.1829875818723052,6.983333333333333,2.7,11.0,3.1644309422715797,18.153124875,12.675,27.2,5.38273352708843
New York,2024-11-03,245.54166666666666,174.0,450.0,59.279719507834514,22.704166666666666,11.2,52.4,11.7322105543991,4.429166666666666,3.0,8.5,1.3375770328622496,43.333333333333336,12.0,65.0,15.730520505130105,9.554166666666667,6.6,25.3,4.077401044214601,13.745833333333332,9.5,36.3,5.857657876412845,19.792083125,13.35,26.0,4.330661807914576
New York,2024-11-04,318.4166666666667,162.0,535.0,121.50073059958066,40.34166666666667,6.8,68.4,21.853960275202866,6.1125,3.0,8.5,1.7466271845299814,29.125,0.0,82.0,30.676874876263277,11.25,7.7,16.5,2.866599257717727,17.420833333333334,14.1,23.5,3.1523599395382815,27.332986208333335,23.483335,32.8,3.295856858380492
New York,2024-11-05,232.79166666666666,187.0,340.0,40.16377252186859,29.541666666666668,15.4,50.0,12.051697216454674,6.175,4.3,8.0,1.211987229090414,40.333333333333336,18.0,60.0,12.933497683103383,10.066666666666666,6.4,13.6,2.139822557996374,15.808333333333332,9.7,22.5,3.7036898953043718,21.349930625,18.666666,24.0,1.6941649103275627
New York,2024-11-06,205.45833333333334,144.0,333.0,42.57369995121673,20.208333333333332,10.7,43.4,8.700070797646301,5.283333333333333,3.9,6.5,0.8947512001360648,54.416666666666664,33.0,68.0,9.699469580597052,6.6499999999999995,3.6,10.5,2.165741162421931,10.1,5.7,15.3,3.0655164824785768,22.364999958333332,16.8,27.2,3.062435057160268
New York,2024-11-07,296.375,185.0,470.0,79.84431182266387,27.09583333333333,5.1,55.4,16.83739314653591,5.645833333333333,2.1,8.1,2.48123026404008,34.583333333333336,6.0,71.0,23.35159740680015,9.129166666666666,4.5,14.8,3.7150082411596426,13.325000000000001,6.6,21.7,5.390027022599037,22.145764083333333,16.741667,28.4,4.124125168040315
